,Method,Matching Field,Ranking Field,Loss,Training Data,Negative Sampling,NDCG@3,NDCG@5,NDCG@10,P@3,P@5,P@10,MAP
33,Supervised,question,BERT-Q-a,softmax,user_query,hard,1.0000,0.3333,1.0000,0.2000,1.0000,0.1000,1.0000
34,Supervised,question_answer,BERT-Q-a,softmax,user_query,hard,1.0000,0.3333,1.0000,0.2000,1.0000,0.1000,1.0000
35,Supervised,question_answer_concat,BERT-Q-a,softmax,user_query,hard,0.9887,0.3333,0.9887,0.2000,0.9887,0.1000,0.9847
36,Supervised,answer,BERT-Q-q,triplet,faq,simple,0.5426,0.1973,0.5804,0.1367,0.6237,0.0816,0.5728
37,Supervised,question,BERT-Q-q,triplet,faq,simple,1.0000,0.3333,1.0000,0.2000,1.0000,0.1000,1.0000
38,Supervised,question_answer,BERT-Q-q,triplet,faq,simple,1.0000,0.3333,1.0000,0.2000,1.0000,0.1000,1.0000
39,Supervised,question_answer_concat,BERT-Q-q,triplet,faq,simple,0.9925,0.3333,0.9925,0.2000,0.9925,0.1000,0.9898
40,Supervised,answer,BERT-Q-q,triplet,faq,hard,0.5630,0.2041,0.5929,0.1367,0.6402,0.0827,0.5905
41,Supervised,question,BERT-Q-q,triplet,faq,hard,1.0000,0.3333,1.0000,0.2000,1.0000,0.1000,1.0000
42,Supervised,question_answer,BERT-Q-q,triplet,faq,hard,1.0000,0.3333,1.0000,0.2000,1.0000,0.1000,1.0000
43,Supervised,question_answer_concat,BERT-Q-q,triplet,faq,hard,0.9925,0.3333,0.9925,0.2000,0.9925,0.1000,0.9898
44,Supervised,answer,BERT-Q-q,triplet,user_query,simple,0.5362,0.1905,0.5744,0.1327,0.6248,0.0816,0.5743
45,Supervised,question,BERT-Q-q,triplet,user_query,simple,1.0000,0.3333,1.0000,0.2000,1.0000,0.1000,1.0000
46,Supervised,question_answer,BERT-Q-q,triplet,user_query,simple,1.0000,0.3333,1.0000,0.2000,1.0000,0.1000,1.0000
47,Supervised,question_answer_concat,BERT-Q-q,triplet,user_query,simple,0.9925,0.3333,0.9925,0.2000,0.9925,0.1000,0.9898
48,Supervised,answer,BERT-Q-q,triplet,user_query,hard,0.5528,0.2007,0.5911,0.1388,0.6343,0.0827,0.5827
49,Supervised,question,BERT-Q-q,triplet,user_query,hard,1.0000,0.3333,1.0000,0.2000,1.0000,0.1000,1.0000
50,Supervised,question_answer,BERT-Q-q,triplet,user_query,hard,1.0000,0.3333,1.0000,0.2000,1.0000,0.1000,1.0000
51,Supervised,question_answer_concat,BERT-Q-q,triplet,user_query,hard,0.9925,0.3333,0.9925,0.2000,0.9925,0.1000,0.9898
52,Supervised,answer,BERT-Q-q,softmax,faq,simple,0.5145,0.1905,0.5395,0.1265,0.5792,0.0755,0.5363
53,Supervised,question,BERT-Q-q,softmax,faq,simple,0.9962,0.3333,0.9962,0.2000,0.9962,0.1000,0.9949
54,Supervised,question_answer,BERT-Q-q,softmax,faq,simple,0.9962,0.3333,0.9962,0.2000,0.9962,0.1000,0.9949
55,Supervised,question_answer_concat,BERT-Q-q,softmax,faq,simple,0.9887,0.3333,0.9887,0.2000,0.9887,0.1000,0.9847
56,Supervised,answer,BERT-Q-q,softmax,faq,hard,0.5120,0.1905,0.5371,0.1265,0.5767,0.0755,0.5331
57,Supervised,question,BERT-Q-q,softmax,faq,hard,0.9962,0.3333,0.9962,0.2000,0.9962,0.1000,0.9949
58,Supervised,question_answer,BERT-Q-q,softmax,faq,hard,0.9962,0.3333,0.9962,0.2000,0.9962,0.1000,0.9949
59,Supervised,question_answer_concat,BERT-Q-q,softmax,faq,hard,0.9887,0.3333,0.9887,0.2000,0.9887,0.1000,0.9847
60,Supervised,answer,BERT-Q-q,softmax,user_query,simple,0.5271,0.1905,0.5561,0.1286,0.6015,0.0786,0.5552
61,Supervised,question,BERT-Q-q,softmax,user_query,simple,1.0000,0.3333,1.0000,0.2000,1.0000,0.1000,1.0000
62,Supervised,question_answer,BERT-Q-q,softmax,user_query,simple,1.0000,0.3333,1.0000,0.2000,1.0000,0.1000,1.0000
63,Supervised,question_answer_concat,BERT-Q-q,softmax,user_query,simple,0.9887,0.3333,0.9887,0.2000,0.9887,0.1000,0.9847
64,Supervised,answer,BERT-Q-q,softmax,user_query,hard,0.5056,0.1871,0.5350,0.1265,0.5745,0.0755,0.5303
65,Supervised,question,BERT-Q-q,softmax,user_query,hard,0.9962,0.3333,0.9962,0.2000,0.9962,0.1000,0.9949
66,Supervised,question_answer,BERT-Q-q,softmax,user_query,hard,0.9962,0.3333,0.9962,0.2000,0.9962,0.1000,0.9949
67,Supervised,question_answer_concat,BERT-Q-q,softmax,user_query,hard,0.9887,0.3333,0.9887,0.2000,0.9887,0.1000,0.9847
